No,Split,Arsitektur,Activation,Learning Rate,Epoch,Loss (MSE),Acc Train,Train Precision 0,Train Precision 1,Train Precision 2,Train Recall 0,Train Recall 1,Train Recall 2,Train F1 0,Train F1 1,Train F1 2,Support 0,Support 1,Support 2
32,70:30,"(100, 50)",tanh,0.007,41,0.00543,0.9946,0.997,0.9921,0.9924,0.9962,0.9924,0.9943,0.9966,0.9922,0.9933,5250,3675,1575
33,70:30,"(100, 50)",tanh,0.2,18,0.00733,0.9927,0.9898,0.9967,0.9931,0.9983,0.9823,0.9981,0.994,0.9894,0.9956,5250,3675,1575
34,70:30,"(100, 50)",tanh,0.6,18,0.01543,0.9846,0.9822,0.9894,0.9816,0.9975,0.9663,0.9841,0.9898,0.9777,0.9829,5250,3675,1575
35,70:30,"(100, 50)",tanh,0.012,31,0.00562,0.9944,0.9985,0.9889,0.9937,0.9941,0.9951,0.9937,0.9963,0.992,0.9937,5250,3675,1575
36,70:30,"(100, 50)",tanh,0.01,30,0.00619,0.9938,0.9985,0.9881,0.9918,0.9926,0.9943,0.9968,0.9955,0.9912,0.9943,5250,3675,1575
37,70:30,"(100, 50)",tanh,0.015,21,0.00762,0.9924,0.992,0.9929,0.9924,0.9977,0.9853,0.9911,0.9949,0.9891,0.9917,5250,3675,1575
38,70:30,"(100, 50)",tanh,0.018,21,0.00752,0.9925,0.9928,0.9915,0.9936,0.9966,0.9869,0.9917,0.9947,0.9892,0.9927,5250,3675,1575
39,70:30,"(100, 50)",tanh,0.0111,31,0.006,0.994,0.9981,0.9884,0.9936,0.9941,0.9946,0.9924,0.9961,0.9915,0.993,5250,3675,1575
40,70:30,"(32, 64, 16)",logistic,0.04,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,5250,3675,1575
41,70:30,"(32, 64, 16)",logistic,0.08,31,0.00829,0.9917,1.0,0.9792,0.9942,0.9901,0.9976,0.9835,0.995,0.9883,0.9888,5250,3675,1575
42,70:30,"(32, 64, 16)",logistic,0.06,31,0.00724,0.9928,0.9989,0.9823,0.9974,0.9933,0.9973,0.9803,0.9961,0.9897,0.9888,5250,3675,1575
43,70:30,"(32, 64, 16)",logistic,0.005,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,5250,3675,1575
44,70:30,"(32, 64, 16)",logistic,0.009,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,5250,3675,1575
45,70:30,"(32, 64, 16)",logistic,0.007,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,5250,3675,1575
46,70:30,"(32, 64, 16)",logistic,0.2,35,0.00619,0.9938,0.9983,0.9908,0.9862,0.9939,0.9916,0.9987,0.9961,0.9912,0.9924,5250,3675,1575
47,70:30,"(32, 64, 16)",logistic,0.6,32,0.00914,0.9909,0.996,0.984,0.9899,0.9901,0.9899,0.9956,0.993,0.987,0.9927,5250,3675,1575
