No,Split,Arsitektur,Activation,Learning Rate,Epoch,Loss (MSE),Acc Train,Train Precision 0,Train Precision 1,Train Precision 2,Train Recall 0,Train Recall 1,Train Recall 2,Train F1 0,Train F1 1,Train F1 2,Support 0,Support 1,Support 2
31,60:40,"(100, 50)",tanh,0.009,18,0.01011,0.9899,0.9967,0.9826,0.9845,0.9918,0.9886,0.9867,0.9942,0.9856,0.9856,4500,3150,1350
32,60:40,"(100, 50)",tanh,0.007,18,0.01,0.99,0.9955,0.9814,0.9918,0.9913,0.9902,0.9852,0.9934,0.9858,0.9885,4500,3150,1350
33,60:40,"(100, 50)",tanh,0.2,16,0.043,0.957,0.9741,0.9329,0.9565,0.9787,0.9451,0.9126,0.9764,0.939,0.934,4500,3150,1350
34,60:40,"(100, 50)",tanh,0.6,14,0.11067,0.8893,0.9158,0.8688,0.8475,0.9358,0.8054,0.9304,0.9257,0.8359,0.887,4500,3150,1350
35,60:40,"(100, 50)",tanh,0.012,18,0.00944,0.9906,0.996,0.9907,0.9724,0.9956,0.9822,0.9933,0.9958,0.9864,0.9828,4500,3150,1350
36,60:40,"(100, 50)",tanh,0.01,35,0.00711,0.9929,0.9993,0.9877,0.984,0.9916,0.9921,0.9993,0.9954,0.9899,0.9915,4500,3150,1350
37,60:40,"(100, 50)",tanh,0.015,35,0.00944,0.9906,0.9995,0.977,0.9933,0.9858,0.9965,0.9926,0.9926,0.9866,0.993,4500,3150,1350
38,60:40,"(100, 50)",tanh,0.018,17,0.01433,0.9857,0.998,0.9716,0.9787,0.9831,0.9879,0.9889,0.9905,0.9797,0.9838,4500,3150,1350
39,60:40,"(100, 50)",tanh,0.0111,18,0.00967,0.9903,0.996,0.9898,0.9731,0.9949,0.9825,0.9933,0.9954,0.9861,0.9831,4500,3150,1350
40,60:40,"(32, 64, 16)",logistic,0.04,32,0.01089,0.9891,0.9931,0.979,1.0,0.9953,0.9902,0.9659,0.9942,0.9845,0.9827,4500,3150,1350
41,60:40,"(32, 64, 16)",logistic,0.08,20,0.01589,0.9841,0.9984,0.9636,0.9866,0.9789,0.9921,0.983,0.9886,0.9776,0.9848,4500,3150,1350
42,60:40,"(32, 64, 16)",logistic,0.06,20,0.01144,0.9886,0.9975,0.9829,0.9726,0.9887,0.9844,0.9978,0.9931,0.9837,0.985,4500,3150,1350
43,60:40,"(32, 64, 16)",logistic,0.005,29,0.00422,0.9958,0.9996,0.9899,0.997,0.9947,0.9981,0.9941,0.9971,0.994,0.9955,4500,3150,1350
44,60:40,"(32, 64, 16)",logistic,0.009,16,0.00667,0.9933,0.9969,0.9874,0.9955,0.9931,0.9937,0.9933,0.995,0.9905,0.9944,4500,3150,1350
45,60:40,"(32, 64, 16)",logistic,0.007,17,0.00533,0.9947,0.9973,0.9908,0.9948,0.9944,0.994,0.997,0.9959,0.9924,0.9959,4500,3150,1350
46,60:40,"(32, 64, 16)",logistic,0.2,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,4500,3150,1350
47,60:40,"(32, 64, 16)",logistic,0.6,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,4500,3150,1350
48,60:40,"(32, 64, 16)",logistic,0.012,17,0.01022,0.9898,0.9949,0.9876,0.9782,0.992,0.9832,0.9978,0.9934,0.9854,0.9879,4500,3150,1350
49,60:40,"(32, 64, 16)",logistic,0.01,16,0.00878,0.9912,0.9944,0.9836,0.9985,0.9936,0.9914,0.983,0.994,0.9875,0.9907,4500,3150,1350
50,60:40,"(32, 64, 16)",logistic,0.015,29,0.005,0.995,0.9996,0.9899,0.9919,0.9936,0.9959,0.9978,0.9965,0.9929,0.9948,4500,3150,1350
51,60:40,"(32, 64, 16)",logistic,0.018,22,0.004,0.996,0.9984,0.994,0.9926,0.9958,0.9946,1.0,0.9971,0.9943,0.9963,4500,3150,1350
52,60:40,"(32, 64, 16)",logistic,0.0111,16,0.00944,0.9906,0.994,0.9824,0.9985,0.9933,0.9908,0.9807,0.9937,0.9866,0.9895,4500,3150,1350
53,60:40,"(32, 64, 16)",relu,0.04,20,0.00744,0.9926,0.9945,0.9895,0.9933,0.9964,0.9892,0.9874,0.9954,0.9894,0.9903,4500,3150,1350
54,60:40,"(32, 64, 16)",relu,0.08,31,0.01256,0.9874,0.9975,0.9841,0.9629,0.9889,0.98,1.0,0.9932,0.982,0.9811,4500,3150,1350
55,60:40,"(32, 64, 16)",relu,0.06,27,0.011,0.989,0.9951,0.9781,0.9947,0.9944,0.9908,0.9667,0.9948,0.9844,0.9805,4500,3150,1350
56,60:40,"(32, 64, 16)",relu,0.005,20,0.00756,0.9924,0.9967,0.987,0.9911,0.994,0.9914,0.9896,0.9953,0.9892,0.9904,4500,3150,1350
57,60:40,"(32, 64, 16)",relu,0.009,20,0.00967,0.9903,0.9987,0.9787,0.9903,0.9884,0.994,0.9881,0.9935,0.9863,0.9892,4500,3150,1350
58,60:40,"(32, 64, 16)",relu,0.007,20,0.00844,0.9916,0.9975,0.9815,0.9955,0.9931,0.9946,0.9793,0.9953,0.988,0.9873,4500,3150,1350
59,60:40,"(32, 64, 16)",relu,0.2,41,0.00956,0.9904,0.9971,0.991,0.9675,0.9958,0.9816,0.9933,0.9964,0.9863,0.9803,4500,3150,1350
60,60:40,"(32, 64, 16)",relu,0.6,36,0.00689,0.9931,0.9962,0.9868,0.9978,0.9936,0.9937,0.9904,0.9949,0.9902,0.9941,4500,3150,1350
61,60:40,"(32, 64, 16)",relu,0.012,19,0.01289,0.9871,0.9962,0.9825,0.9684,0.9878,0.9806,1.0,0.992,0.9816,0.984,4500,3150,1350
62,60:40,"(32, 64, 16)",relu,0.01,20,0.01456,0.9854,0.9962,0.9655,0.9985,0.986,0.994,0.9637,0.9911,0.9795,0.9808,4500,3150,1350
63,60:40,"(32, 64, 16)",relu,0.015,19,0.01289,0.9871,0.9986,0.9747,0.9789,0.9824,0.9889,0.9985,0.9905,0.9817,0.9886,4500,3150,1350
64,60:40,"(32, 64, 16)",relu,0.018,29,0.00556,0.9944,0.9964,0.9924,0.9926,0.9969,0.9917,0.9926,0.9967,0.9921,0.9926,4500,3150,1350
65,60:40,"(32, 64, 16)",relu,0.0111,20,0.01222,0.9878,0.998,0.9712,0.9939,0.9884,0.9946,0.9696,0.9932,0.9827,0.9816,4500,3150,1350
66,60:40,"(32, 64, 16)",tanh,0.04,18,0.01922,0.9808,0.9831,0.9757,0.9849,0.9927,0.9692,0.9681,0.9878,0.9724,0.9765,4500,3150,1350
67,60:40,"(32, 64, 16)",tanh,0.08,31,0.01589,0.9841,0.996,0.9732,0.9708,0.9856,0.9816,0.9852,0.9907,0.9774,0.9779,4500,3150,1350
68,60:40,"(32, 64, 16)",tanh,0.06,20,0.01689,0.9831,0.9962,0.9832,0.9414,0.9922,0.9683,0.9874,0.9942,0.9757,0.9638,4500,3150,1350
69,60:40,"(32, 64, 16)",tanh,0.005,27,0.006,0.994,0.996,0.9943,0.9868,0.9967,0.9886,0.9978,0.9963,0.9914,0.9923,4500,3150,1350
70,60:40,"(32, 64, 16)",tanh,0.009,32,0.00578,0.9942,0.9962,0.9908,0.9955,0.9976,0.9927,0.9867,0.9969,0.9918,0.9911,4500,3150,1350
71,60:40,"(32, 64, 16)",tanh,0.007,25,0.01089,0.9891,0.9931,0.982,0.9926,0.9898,0.987,0.9919,0.9914,0.9845,0.9922,4500,3150,1350
72,60:40,"(32, 64, 16)",tanh,0.2,28,0.05578,0.9442,0.9625,0.9244,0.9297,0.9627,0.9156,0.9496,0.9626,0.9199,0.9395,4500,3150,1350
73,60:40,"(32, 64, 16)",tanh,0.6,27,0.222,0.7827,0.8436,0.6984,0.7622,0.8713,0.6749,0.7385,0.8572,0.6865,0.7502,4500,3150,1350
74,60:40,"(32, 64, 16)",tanh,0.012,38,0.007,0.993,0.9927,0.9936,0.9926,0.9964,0.9863,0.997,0.9946,0.99,0.9948,4500,3150,1350
75,60:40,"(32, 64, 16)",tanh,0.01,20,0.00833,0.9917,1.0,0.983,0.9846,0.9893,0.9933,0.9956,0.9946,0.9882,0.9901,4500,3150,1350
76,60:40,"(32, 64, 16)",tanh,0.015,25,0.01244,0.9876,0.9926,0.9804,0.9876,0.9864,0.9841,0.9993,0.9895,0.9823,0.9934,4500,3150,1350
77,60:40,"(32, 64, 16)",tanh,0.018,32,0.00722,0.9928,0.9978,0.9877,0.9882,0.9924,0.9917,0.9963,0.9951,0.9897,0.9923,4500,3150,1350
78,60:40,"(32, 64, 16)",tanh,0.0111,21,0.01256,0.9874,0.992,0.9819,0.9851,0.9938,0.9822,0.9785,0.9929,0.9821,0.9818,4500,3150,1350
79,60:40,"(128, 64, 32, 16)",logistic,0.04,34,0.00689,0.9931,0.9975,0.9849,0.9977,0.9944,0.9956,0.983,0.996,0.9902,0.9903,4500,3150,1350
80,60:40,"(128, 64, 32, 16)",logistic,0.08,22,0.03,0.97,0.9727,0.9554,0.9968,0.9893,0.959,0.9311,0.9809,0.9572,0.9628,4500,3150,1350
81,60:40,"(128, 64, 32, 16)",logistic,0.06,38,0.01222,0.9878,0.9958,0.9771,0.9865,0.9918,0.9883,0.9733,0.9938,0.9826,0.9799,4500,3150,1350
82,60:40,"(128, 64, 32, 16)",logistic,0.005,19,0.00511,0.9949,0.9962,0.9933,0.9941,0.996,0.9921,0.9978,0.9961,0.9927,0.9959,4500,3150,1350
83,60:40,"(128, 64, 32, 16)",logistic,0.009,28,0.00667,0.9933,0.9955,0.9892,0.9956,0.9938,0.9917,0.9956,0.9947,0.9905,0.9956,4500,3150,1350
84,60:40,"(128, 64, 32, 16)",logistic,0.007,36,0.00522,0.9948,0.9942,0.9936,0.9993,0.998,0.9914,0.9919,0.9961,0.9925,0.9955,4500,3150,1350
85,60:40,"(128, 64, 32, 16)",logistic,0.2,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,4500,3150,1350
86,60:40,"(128, 64, 32, 16)",logistic,0.6,13,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,4500,3150,1350
87,60:40,"(128, 64, 32, 16)",logistic,0.012,34,0.008,0.992,0.9996,0.9785,0.9993,0.988,0.999,0.9889,0.9937,0.9887,0.994,4500,3150,1350
88,60:40,"(128, 64, 32, 16)",logistic,0.01,28,0.00611,0.9939,0.9951,0.9899,0.9993,0.9958,0.9927,0.9904,0.9954,0.9913,0.9948,4500,3150,1350
89,60:40,"(128, 64, 32, 16)",logistic,0.015,38,0.00611,0.9939,0.996,0.9889,0.9985,0.9976,0.9937,0.9822,0.9968,0.9913,0.9903,4500,3150,1350
90,60:40,"(128, 64, 32, 16)",logistic,0.018,28,0.00722,0.9928,0.9956,0.9871,0.997,0.9944,0.9924,0.9881,0.995,0.9897,0.9926,4500,3150,1350
91,60:40,"(128, 64, 32, 16)",logistic,0.0111,31,0.00511,0.9949,0.9921,0.9984,0.9963,0.9993,0.987,0.9985,0.9957,0.9927,0.9974,4500,3150,1350
92,60:40,"(128, 64, 32, 16)",relu,0.04,26,0.01078,0.9892,0.992,0.9811,0.9992,0.9982,0.9883,0.9615,0.9951,0.9847,0.98,4500,3150,1350
93,60:40,"(128, 64, 32, 16)",relu,0.08,21,0.014,0.986,0.9946,0.9707,0.9939,0.9871,0.9898,0.9733,0.9909,0.9802,0.9835,4500,3150,1350
94,60:40,"(128, 64, 32, 16)",relu,0.06,24,0.00822,0.9918,0.996,0.9858,0.9919,0.992,0.9908,0.9933,0.994,0.9883,0.9926,4500,3150,1350
95,60:40,"(128, 64, 32, 16)",relu,0.005,19,0.007,0.993,0.9984,0.9868,0.9896,0.994,0.9933,0.9889,0.9962,0.99,0.9893,4500,3150,1350
96,60:40,"(128, 64, 32, 16)",relu,0.009,37,0.00622,0.9938,0.9978,0.9946,0.9788,0.9982,0.9876,0.9933,0.998,0.9911,0.986,4500,3150,1350
97,60:40,"(128, 64, 32, 16)",relu,0.007,36,0.00567,0.9943,0.9978,0.9886,0.9963,0.996,0.9952,0.9867,0.9969,0.9919,0.9914,4500,3150,1350
98,60:40,"(128, 64, 32, 16)",relu,0.2,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,4500,3150,1350
99,60:40,"(128, 64, 32, 16)",relu,0.6,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,4500,3150,1350
100,60:40,"(128, 64, 32, 16)",relu,0.012,24,0.00622,0.9938,0.9989,0.9874,0.9918,0.9947,0.9949,0.9881,0.9968,0.9911,0.99,4500,3150,1350
101,60:40,"(128, 64, 32, 16)",relu,0.01,31,0.00322,0.9968,0.9998,0.9912,1.0,0.9982,0.9997,0.9852,0.999,0.9954,0.9925,4500,3150,1350
102,60:40,"(128, 64, 32, 16)",relu,0.015,32,0.00522,0.9948,0.9987,0.9918,0.9889,0.9971,0.9933,0.9904,0.9979,0.9925,0.9896,4500,3150,1350
103,60:40,"(128, 64, 32, 16)",relu,0.018,22,0.01044,0.9896,0.9969,0.9751,1.0,0.9969,0.9956,0.9511,0.9969,0.9852,0.9749,4500,3150,1350
104,60:40,"(128, 64, 32, 16)",relu,0.0111,30,0.01233,0.9877,0.9901,0.9792,1.0,0.9956,0.9857,0.9659,0.9928,0.9824,0.9827,4500,3150,1350
105,60:40,"(128, 64, 32, 16)",tanh,0.04,21,0.02644,0.9736,0.991,0.957,0.956,0.9753,0.9679,0.9807,0.9831,0.9624,0.9682,4500,3150,1350
106,60:40,"(128, 64, 32, 16)",tanh,0.08,15,0.037,0.963,0.9686,0.969,0.9312,0.9936,0.9238,0.9526,0.9809,0.9459,0.9418,4500,3150,1350
107,60:40,"(128, 64, 32, 16)",tanh,0.06,17,0.02333,0.9767,0.9795,0.9933,0.9332,0.9976,0.9397,0.9933,0.9884,0.9657,0.9623,4500,3150,1350
108,60:40,"(128, 64, 32, 16)",tanh,0.005,38,0.00622,0.9938,0.9998,0.9968,0.9677,0.9978,0.9854,1.0,0.9988,0.9911,0.9836,4500,3150,1350
109,60:40,"(128, 64, 32, 16)",tanh,0.009,22,0.01333,0.9867,0.9896,0.9776,0.9985,0.9951,0.9844,0.9637,0.9924,0.981,0.9808,4500,3150,1350
